Bandit,Reward,Algorithm
Bandit_3,2.87018075631021,ThompsonSampling
Bandit_3,3.4866624179549657,ThompsonSampling
Bandit_3,3.9008265185592137,ThompsonSampling
Bandit_3,3.3814425623822095,ThompsonSampling
Bandit_3,0.3116708803370374,ThompsonSampling
Bandit_3,3.2480692105028464,ThompsonSampling
Bandit_3,2.581223450110768,ThompsonSampling
Bandit_3,3.737630404028394,ThompsonSampling
Bandit_3,3.515914775871878,ThompsonSampling
Bandit_3,2.790273919620648,ThompsonSampling
Bandit_3,3.7287418327353343,ThompsonSampling
Bandit_3,2.269876732136372,ThompsonSampling
Bandit_3,3.662167999573717,ThompsonSampling
Bandit_3,1.7134242528503907,ThompsonSampling
Bandit_3,2.4656971770466147,ThompsonSampling
Bandit_3,2.1480889680707684,ThompsonSampling
Bandit_3,4.3625331209658205,ThompsonSampling
Bandit_3,3.719760732890252,ThompsonSampling
Bandit_3,2.8443456545728485,ThompsonSampling
Bandit_3,2.871092233832468,ThompsonSampling
Bandit_3,3.2002791903777794,ThompsonSampling
Bandit_3,3.4358249672361945,ThompsonSampling
Bandit_3,1.2769202559289807,ThompsonSampling
Bandit_3,3.476489722589498,ThompsonSampling
Bandit_3,3.732864756683729,ThompsonSampling
Bandit_3,3.034932734096084,ThompsonSampling
Bandit_3,2.9339235138191575,ThompsonSampling
Bandit_3,1.4882051793546782,ThompsonSampling
Bandit_3,2.1667755272703797,ThompsonSampling
Bandit_3,2.9351860639276057,ThompsonSampling
Bandit_3,4.15916256556463,ThompsonSampling
Bandit_3,2.8382835823982817,ThompsonSampling
Bandit_3,3.3703426214179606,ThompsonSampling
Bandit_3,3.835078569357385,ThompsonSampling
Bandit_3,2.1191496591419545,ThompsonSampling
Bandit_3,1.6240374585555548,ThompsonSampling
Bandit_3,2.5704430444285444,ThompsonSampling
Bandit_3,2.5284373343598006,ThompsonSampling
Bandit_3,5.158260441770653,ThompsonSampling
Bandit_3,3.0169978410190197,ThompsonSampling
Bandit_3,3.1313611117048317,ThompsonSampling
Bandit_3,2.908330507274737,ThompsonSampling
Bandit_3,3.721433326370424,ThompsonSampling
Bandit_3,0.2607155658558322,ThompsonSampling
Bandit_3,3.5260616417616326,ThompsonSampling
Bandit_3,2.117236027833797,ThompsonSampling
Bandit_3,4.326325582755506,ThompsonSampling
Bandit_3,3.4129470886648123,ThompsonSampling
Bandit_3,3.438739304762556,ThompsonSampling
Bandit_3,3.7388660739386084,ThompsonSampling
Bandit_3,1.0143253649001966,ThompsonSampling
Bandit_3,2.9258564897324058,ThompsonSampling
Bandit_3,4.466131313298293,ThompsonSampling
Bandit_3,2.76198167886928,ThompsonSampling
Bandit_3,3.9155166799888743,ThompsonSampling
Bandit_3,3.8804638208486777,ThompsonSampling
Bandit_3,2.306154110342395,ThompsonSampling
Bandit_3,4.297811013262574,ThompsonSampling
Bandit_3,3.1392177134033696,ThompsonSampling
Bandit_3,4.361636870589279,ThompsonSampling
Bandit_3,2.4856941484877124,ThompsonSampling
Bandit_3,2.940336659455477,ThompsonSampling
Bandit_3,2.5701850973756146,ThompsonSampling
Bandit_3,2.945383295279463,ThompsonSampling
Bandit_3,2.2338722967668705,ThompsonSampling
Bandit_3,2.9398531475611223,ThompsonSampling
Bandit_3,4.078273139631357,ThompsonSampling
Bandit_3,2.8848645325069295,ThompsonSampling
Bandit_3,2.5462438441181265,ThompsonSampling
Bandit_3,3.8300391542789325,ThompsonSampling
Bandit_3,2.8004956192539607,ThompsonSampling
Bandit_3,3.865854692730595,ThompsonSampling
Bandit_3,3.3921784428186,ThompsonSampling
Bandit_3,2.3575286227667447,ThompsonSampling
Bandit_3,1.7357262709988894,ThompsonSampling
Bandit_3,3.3934990529131506,ThompsonSampling
Bandit_3,2.09807850976312,ThompsonSampling
Bandit_3,2.9648692010022852,ThompsonSampling
Bandit_3,1.7166161726178126,ThompsonSampling
Bandit_3,3.253083136912347,ThompsonSampling
Bandit_3,2.1958219218169823,ThompsonSampling
Bandit_3,1.2561503256865538,ThompsonSampling
Bandit_3,1.395254840877823,ThompsonSampling
Bandit_3,2.886038377867148,ThompsonSampling
Bandit_3,1.1164109557477018,ThompsonSampling
Bandit_3,3.096969034456357,ThompsonSampling
Bandit_3,2.799853303768286,ThompsonSampling
Bandit_3,2.639383451762922,ThompsonSampling
Bandit_3,2.3594638314922025,ThompsonSampling
Bandit_3,2.930421992411972,ThompsonSampling
Bandit_3,2.604662024179439,ThompsonSampling
Bandit_3,1.853421920890008,ThompsonSampling
Bandit_3,2.7142336357150416,ThompsonSampling
Bandit_3,2.9186796260832186,ThompsonSampling
Bandit_3,2.9953927627834704,ThompsonSampling
Bandit_3,3.7485705737469477,ThompsonSampling
Bandit_3,1.2182514247652916,ThompsonSampling
Bandit_3,4.105844443916369,ThompsonSampling
Bandit_3,1.8001707920938816,ThompsonSampling
Bandit_3,3.2089054589073127,ThompsonSampling
Bandit_3,2.755924010589056,ThompsonSampling
Bandit_3,3.3129194356637948,ThompsonSampling
Bandit_3,3.5906495076353213,ThompsonSampling
Bandit_3,2.640857335213924,ThompsonSampling
Bandit_3,2.7542353033014644,ThompsonSampling
Bandit_3,2.195620036125943,ThompsonSampling
Bandit_3,2.6837685385299315,ThompsonSampling
Bandit_3,3.3065371325925286,ThompsonSampling
Bandit_3,2.0397213710747555,ThompsonSampling
Bandit_3,3.938562780750766,ThompsonSampling
Bandit_3,3.8642518736099767,ThompsonSampling
Bandit_3,3.9937616295633975,ThompsonSampling
Bandit_3,1.231240424581025,ThompsonSampling
Bandit_3,4.103783378567531,ThompsonSampling
Bandit_3,3.164949815257025,ThompsonSampling
Bandit_3,3.561675919260765,ThompsonSampling
Bandit_3,2.798025943604037,ThompsonSampling
Bandit_3,2.3156708959658605,ThompsonSampling
Bandit_3,1.6928061161422312,ThompsonSampling
Bandit_3,4.496750016580974,ThompsonSampling
Bandit_3,3.2051558725142497,ThompsonSampling
Bandit_3,2.911058297050687,ThompsonSampling
Bandit_3,3.3747534760022955,ThompsonSampling
Bandit_3,3.067340290135302,ThompsonSampling
Bandit_3,4.613549194970789,ThompsonSampling
Bandit_3,4.196117650812266,ThompsonSampling
Bandit_3,2.186989504398439,ThompsonSampling
Bandit_3,3.1638098657502876,ThompsonSampling
Bandit_3,2.1245462632364385,ThompsonSampling
Bandit_3,3.4969927819283333,ThompsonSampling
Bandit_3,2.9635182765908046,ThompsonSampling
Bandit_3,3.8420251960585454,ThompsonSampling
Bandit_3,3.9640830082350167,ThompsonSampling
Bandit_3,2.9916422949235817,ThompsonSampling
Bandit_3,3.004670587998071,ThompsonSampling
Bandit_3,4.246757425977754,ThompsonSampling
Bandit_3,3.0892665507614017,ThompsonSampling
Bandit_3,4.572143395792839,ThompsonSampling
Bandit_3,4.437554060792004,ThompsonSampling
Bandit_3,3.0397400135906674,ThompsonSampling
Bandit_3,1.362925270105809,ThompsonSampling
Bandit_3,2.826594794386396,ThompsonSampling
Bandit_3,2.486338349852112,ThompsonSampling
Bandit_3,3.812886009102527,ThompsonSampling
Bandit_3,2.2858380093907984,ThompsonSampling
Bandit_3,3.395956999815228,ThompsonSampling
Bandit_3,4.24516671532734,ThompsonSampling
Bandit_3,3.1984025403464367,ThompsonSampling
Bandit_3,1.993086274274089,ThompsonSampling
Bandit_3,1.9903674435679328,ThompsonSampling
Bandit_3,1.995317851591211,ThompsonSampling
Bandit_3,3.38395413872896,ThompsonSampling
Bandit_3,2.9868064602130118,ThompsonSampling
Bandit_3,2.2333389991880646,ThompsonSampling
Bandit_3,1.9077606187957046,ThompsonSampling
Bandit_3,1.2269317318297863,ThompsonSampling
Bandit_3,2.27448065177965,ThompsonSampling
Bandit_3,3.2360970115027743,ThompsonSampling
Bandit_3,2.1795162588762436,ThompsonSampling
Bandit_3,2.579545678055748,ThompsonSampling
Bandit_3,4.382719172165723,ThompsonSampling
Bandit_3,2.2142822152168007,ThompsonSampling
Bandit_3,4.504806191760444,ThompsonSampling
Bandit_3,2.934747010098576,ThompsonSampling
Bandit_3,2.0734108263018207,ThompsonSampling
Bandit_3,3.9583384716819094,ThompsonSampling
Bandit_3,1.6695161411477863,ThompsonSampling
Bandit_3,3.940465271793391,ThompsonSampling
Bandit_3,3.739196633004671,ThompsonSampling
